location	point
school:100581	[51.46161,-0.12141]
school:100582	[51.46661,-0.11806]
school:100583	[51.46661,-0.11806]
school:100584	[51.45842,-0.11932]
school:100585	[51.42909,-0.12011]
school:100586	[51.44256,-0.13710]
school:100587	[51.45241,-0.11452]
school:100588	[51.48893,-0.11769]
school:100589	[51.49394,-0.11334]
school:100590	[51.41254,-0.13534]
school:100591	[51.48129,-0.12548]
school:100592	[51.45300,-0.13215]
school:100593	[51.42361,-0.10926]
school:100594	[51.44225,-0.11364]
school:100595	[51.44225,-0.11364]
school:100596	[51.45241,-0.11452]
school:100597	[51.43201,-0.09198]
school:100598	[51.47287,-0.12722]
school:100599	[51.45621,-0.12952]
school:100600	[51.46955,-0.10506]
school:100601	[51.45300,-0.13215]
school:100602	[51.43123,-0.10551]
school:100603	[51.46955,-0.10506]
school:100604	[51.47866,-0.12589]
school:100605	[51.47525,-0.11081]
school:100606	[51.45576,-0.12774]
school:100607	[51.45992,-0.10877]
school:100608	[51.43996,-0.11598]
school:100609	[51.49160,-0.10996]
school:100610	[51.47623,-0.10815]
school:100611	[51.44475,-0.12154]
school:100612	[51.46366,-0.14744]
school:100613	[51.46835,-0.12235]
school:100614	[51.47889,-0.10372]
school:100615	[51.46146,-0.11049]
school:100616	[51.45432,-0.10504]
school:100617	[51.42710,-0.13565]
school:100618	[51.42681,-0.09991]
school:100619	[51.48457,-0.11731]
school:100620	[51.46371,-0.09793]
school:100621	[51.47974,-0.12232]
school:100622	[51.44756,-0.11837]
school:100623	[51.46712,-0.11342]
school:100624	[51.42318,-0.09967]
school:100625	[51.48616,-0.11766]
school:100626	[51.47355,-0.11961]
school:100627	[51.47582,-0.10203]
school:100628	[51.44773,-0.14280]
school:100629	[51.48557,-0.11936]
school:100630	[51.45618,-0.12015]
school:100631	[51.44452,-0.13559]
school:100632	[51.42432,-0.12581]
school:100633	[51.41935,-0.13154]
school:100634	[51.47750,-0.11512]
school:100635	[51.47467,-0.11593]
school:100636	[51.45912,-0.13806]
school:100637	[51.44773,-0.14280]
school:100638	[51.42497,-0.11874]
school:100639	[51.43286,-0.11945]
school:100640	[51.48250,-0.11603]
school:100641	[51.44415,-0.10971]
school:100642	[51.50644,-0.10828]
school:100643	[51.44709,-0.09777]
school:100644	[51.44082,-0.09314]
school:100645	[51.43921,-0.09887]
school:100646	[51.41883,-0.12828]
school:100647	[51.44185,-0.12269]
school:100648	[51.43528,-0.13814]
school:100649	[51.43629,-0.12437]
school:100650	[51.45928,-0.07699]
school:100651	[51.44548,-0.13552]
school:100652	[51.43864,-0.10367]
school:100653	[51.42960,-0.12730]
school:100654	[51.46710,-0.12006]
school:100655	[51.48712,-0.11085]
school:100656	[51.45496,-0.13037]
school:100657	[50.85651,0.55831]
school:100658	[51.08471,-0.34654]
school:100659	[51.44794,-0.11660]
school:100660	[51.43867,-0.10232]
school:100661	[51.46128,-0.10127]
school:100662	[51.43910,-0.10240]
school:100663	[51.43712,-0.13195]
school:100664	[51.37771,-1.35402]
school:100665	[51.45590,-0.12632]
school:100666	[51.49289,-0.11004]
school:100667	[51.48430,-0.03381]
school:100668	[51.45859,-0.04259]
school:100669	[51.44305,-0.01960]
school:100670	[51.45272,-0.02522]
school:100671	[51.43084,-0.04137]
school:100672	[51.43407,-0.02396]
school:100673	[51.44432,0.01435]
school:100674	[51.45712,-0.03609]
school:100675	[51.47697,-0.03790]
school:100676	[51.43716,0.02064]
school:100677	[51.44358,-0.04348]
school:100678	[51.48821,-0.03786]
school:100679	[51.42822,0.00038]
