school-eng	name	address	minimum-age	maximum-age	school-capacity	headteacher	school-type	start-date	end-date
117325	Springmead Primary School	200003857468	3	11	484	Miss Jennifer Moles	Local authority maintained		
117326	Longlands Primary School and Nursery	148020211	3	11	240	Ms Lee-Ann Britten	Local authority maintained		
117327	The Lea Primary School and Nursery	200003638188	3	11	236	Mrs Sharon Swinson	Local authority maintained		
117328	Wheatcroft Primary School	100081249928	3	11	315	Mr Alisdair Skinner	Local authority maintained		
117329	Mary Exton Primary School	200001853404	5	11	214	Mrs Lisa Hayes	Local authority maintained		
117330	Lordship Farm Primary School	10070036939	3	11	357	Mr Ben Parry	Local authority maintained		
117331	Studlands Rise First School	100081260349	3	9	150	Miss Alison Doke	Local authority maintained		
117332	Roman Way First School	100081259861	3	9	277	Mrs Emma Edwards	Local authority maintained		
117333	Lime Walk Primary School	100081183252	3	11	240	Mr Robert Hutchings	Local authority maintained		
117334	Fairfields Primary School and Nursery	148004104	3	11	420	Mr Giovanni Gaidoni	Local authority maintained		
117335	Aycliffe Drive Primary School	100081177678	3	11	315	Mrs Maria Green	Local authority maintained		
117336	Holtsmere End Junior School	100081177953	7	11	240	Mrs Emma McGuigan	Local authority maintained		
117337	Samuel Lucas Junior Mixed and Infant School	10013799401	4	11	336	Mrs Tracy Thomas	Local authority maintained		
117338	Roselands Primary School	148025794	5	11	315	Mrs J Carson	Local authority maintained		2016-08-31
117339	Cherry Tree Primary School	200000930805	3	11	416	Ms Jessie Bruce	Local authority maintained		
117340	Coates Way JMI and Nursery School	10002004256	3	11	210	Mr Steven Wells	Local authority maintained		
117341	Grove Road Primary School	100081181097	3	11	420	Miss Sharon Sanderson	Local authority maintained		
117342	High Beeches Primary School	200003641529	5	11	330	Ms Sara Lawrence	Local authority maintained		
117343	Barncroft Primary School	200004060194	3	11	179	Mr Geoff Allen	Local authority maintained		2008-08-31
117344	Jupiter Drive Junior Mixed and Infant School	100081177483	5	11	180	Mrs Margie Knight	Local authority maintained		2008-08-31
117345	Stonehill School	100081258882	3	11	177	Mrs Elaine Close	Local authority maintained		
