academy-school-eng	school-type	academy-trust	school-trust-join-date	academy-sponsor
140642	34		2014-01-03	
140643	34		2014-01-03	
140644	34	company:08538844	2014-01-03	Diocese of Exeter
140645	34	company:08767576	2014-01-03	
140646	34	company:08833508	2014-01-03	Wickersley Partnership Trust
140647	34	company:08882544		
140648	28	company:07525735	2016-01-05	Aquinas Church of England Education Trust Ltd
140649	42	company:07690473	2014-01-03	The Hamwic Trust
140650	34	company:08812257	2014-01-03	
140651	28	company:07551959		GLF Schools
140652	28			
140653	28			
140654	33	company:08334745	2015-01-09	MacIntyre
140656	28	company:08779660	2014-01-07	Leigh Junior Infant & Nursery School
140657	28	company:07693936	2014-01-04	Bentley Wood High School
140658	28	company:08566185	2014-01-04	Perry Hall Multi Academy Trust
140659	28	company:07635510	2014-01-04	Torch Academy Gateway Trust
140660	28	company:07521584	2014-01-09	The Mirfield Free Grammar & Sixth Form
140661	28	company:04439859	2014-01-04	United Learning
140662	28	company:08813173	2014-01-04	Diocese of York Educational Trust
140663	28	company:07338780	2014-01-04	CWA Academy Trust
140664	28	company:08852553	2014-01-04	North West Academies Trust
140665	43	company:08425513	2014-01-04	TBAP Trust
140666	28	company:08709542	2014-01-09	Diocese of Chelmsford
140667	28	company:07905433	2014-01-04	Coombe Secondary Schools Academy Trust (CSSAT)
140668	28		2014-01-04	South Tendring Education Partnership (STEP)
140669	28	company:07400386	2014-01-07	Samuel Ward Academy Trust
140670	28	company:08880841	2014-01-04	Truro and Penwith College
140671	28	company:08116706	2014-01-04	The Elliot Foundation Academies Trust
140672	28	company:07527304	2014-01-04	South East Essex Academy Trust
140673	28	company:08597962	2014-01-04	Park SEN - Anchorsholme PS - Devonshire PS
140674	28	company:05398529	2014-01-05	Oasis Community Learning
140675	28	company:08880841	2014-01-04	Truro and Penwith College
140676	28	company:08438686	2014-01-04	Plymouth CAST
