urn	establishment-type	establishment-group-type
117124	Community School	LA maintained schools
117125	Community School	LA maintained schools
117126	Community School	LA maintained schools
117127	Community School	LA maintained schools
117128	Community School	LA maintained schools
117129	Community School	LA maintained schools
117130	Community School	LA maintained schools
117131	Community School	LA maintained schools
117132	Community School	LA maintained schools
117133	Community School	LA maintained schools
117134	Community School	LA maintained schools
117135	Community School	LA maintained schools
117136	Community School	LA maintained schools
117137	Community School	LA maintained schools
117138	Community School	LA maintained schools
117139	Community School	LA maintained schools
117140	Community School	LA maintained schools
117141	Community School	LA maintained schools
117142	Community School	LA maintained schools
117143	Community School	LA maintained schools
117144	Community School	LA maintained schools
117145	Community School	LA maintained schools
117146	Community School	LA maintained schools
117147	Community School	LA maintained schools
117148	Community School	LA maintained schools
117149	Community School	LA maintained schools
117150	Community School	LA maintained schools
117151	Community School	LA maintained schools
117152	Community School	LA maintained schools
117153	Community School	LA maintained schools
117154	Community School	LA maintained schools
117155	Community School	LA maintained schools
117156	Community School	LA maintained schools
117157	Community School	LA maintained schools
117158	Community School	LA maintained schools
117159	Community School	LA maintained schools
117160	Community School	LA maintained schools
117161	Community School	LA maintained schools
117162	Community School	LA maintained schools
117163	Community School	LA maintained schools
117164	Community School	LA maintained schools
117165	Community School	LA maintained schools
117166	Community School	LA maintained schools
117167	Community School	LA maintained schools
117168	Community School	LA maintained schools
117169	Community School	LA maintained schools
117170	Community School	LA maintained schools
117171	Community School	LA maintained schools
117172	Community School	LA maintained schools
117173	Community School	LA maintained schools
117174	Community School	LA maintained schools
117175	Community School	LA maintained schools
117176	Community School	LA maintained schools
117177	Community School	LA maintained schools
117178	Community School	LA maintained schools
117179	Community School	LA maintained schools
117180	Community School	LA maintained schools
117181	Community School	LA maintained schools
117182	Community School	LA maintained schools
117183	Community School	LA maintained schools
117184	Community School	LA maintained schools
117185	Community School	LA maintained schools
117186	Community School	LA maintained schools
117187	Community School	LA maintained schools
117188	Community School	LA maintained schools
117189	Community School	LA maintained schools
117190	Community School	LA maintained schools
117191	Community School	LA maintained schools
117192	Community School	LA maintained schools
117193	Community School	LA maintained schools
117194	Community School	LA maintained schools
117195	Community School	LA maintained schools
117196	Community School	LA maintained schools
117197	Community School	LA maintained schools
117198	Community School	LA maintained schools
117199	Community School	LA maintained schools
117200	Community School	LA maintained schools
117201	Community School	LA maintained schools
117202	Community School	LA maintained schools
117203	Community School	LA maintained schools
117204	Community School	LA maintained schools
117205	Community School	LA maintained schools
117206	Community School	LA maintained schools
117207	Community School	LA maintained schools
117208	Community School	LA maintained schools
117209	Community School	LA maintained schools
117210	Community School	LA maintained schools
117211	Community School	LA maintained schools
117212	Community School	LA maintained schools
117213	Community School	LA maintained schools
117214	Community School	LA maintained schools
117215	Community School	LA maintained schools
117216	Community School	LA maintained schools
117217	Community School	LA maintained schools
117218	Community School	LA maintained schools
117219	Community School	LA maintained schools
117220	Community School	LA maintained schools
117221	Community School	LA maintained schools
117222	Community School	LA maintained schools
117223	Community School	LA maintained schools
117224	Community School	LA maintained schools
117225	Community School	LA maintained schools
117226	Community School	LA maintained schools
117227	Community School	LA maintained schools
117228	Foundation School	LA maintained schools
117229	Community School	LA maintained schools
117230	Community School	LA maintained schools
117231	Community School	LA maintained schools
117232	Community School	LA maintained schools
117233	Community School	LA maintained schools
117234	Community School	LA maintained schools
117235	Community School	LA maintained schools
117236	Community School	LA maintained schools
117237	Community School	LA maintained schools
117238	Community School	LA maintained schools
117239	Community School	LA maintained schools
117240	Community School	LA maintained schools
117241	Community School	LA maintained schools
117242	Community School	LA maintained schools
117243	Community School	LA maintained schools
117244	Community School	LA maintained schools
117245	Community School	LA maintained schools
117246	Community School	LA maintained schools
117247	Community School	LA maintained schools
117248	Community School	LA maintained schools
117249	Community School	LA maintained schools
117250	Community School	LA maintained schools
117251	Community School	LA maintained schools
117252	Community School	LA maintained schools
117253	Community School	LA maintained schools
117254	Community School	LA maintained schools
117255	Community School	LA maintained schools
117256	Community School	LA maintained schools
117257	Community School	LA maintained schools
117258	Community School	LA maintained schools
117259	Community School	LA maintained schools
117260	Community School	LA maintained schools
117261	Community School	LA maintained schools
117262	Community School	LA maintained schools
117263	Community School	LA maintained schools
117264	Community School	LA maintained schools
117265	Community School	LA maintained schools
117266	Community School	LA maintained schools
117267	Community School	LA maintained schools
117268	Community School	LA maintained schools
117269	Community School	LA maintained schools
117270	Community School	LA maintained schools
117271	Community School	LA maintained schools
117272	Community School	LA maintained schools
117273	Community School	LA maintained schools
117274	Community School	LA maintained schools
